t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
4200,25.0,-12.0,12.0,597,471,552,43
4233,25.0,-12.0,12.0,597,471,552,45
4267,25.0,-12.0,12.0,597,471,552,47
4300,25.0,-12.0,12.0,597,471,552,49
4333,25.0,-12.0,12.0,597,471,552,51
4367,25.0,-12.0,12.0,597,471,552,52
4400,25.0,-12.0,12.0,597,471,552,54
4433,25.0,-12.0,12.0,597,471,552,56
4467,25.0,-12.0,12.0,597,471,552,59
4500,25.0,-12.0,12.0,597,471,552,61
4533,25.0,-12.0,12.0,597,471,552,63
4567,25.0,-12.0,12.0,597,471,552,65
4600,25.0,-12.0,12.0,597,471,552,67
4633,25.0,-12.0,12.0,597,471,552,69
4667,25.0,-12.0,12.0,597,471,552,71
4700,25.0,-12.0,12.0,597,471,552,73
4733,25.0,-12.0,12.0,597,471,552,74
4767,25.0,-12.0,12.0,597,471,552,76
4800,25.0,-12.0,12.0,597,471,552,78
4833,25.0,-12.0,12.0,597,471,552,80
4867,25.0,-12.0,12.0,597,471,552,82
4900,25.0,-12.0,12.0,597,471,552,83
4933,25.0,-12.0,12.0,597,471,552,85
4967,25.0,-12.0,12.0,597,471,552,86
5000,25.0,-12.0,12.0,597,471,552,87
5033,25.0,-12.0,12.0,597,471,552,89
5067,25.0,-12.0,12.0,597,471,552,90
5100,25.0,-12.0,12.0,597,471,552,91
5133,25.0,-12.0,12.0,597,471,552,92
5167,25.0,-12.0,12.0,597,471,552,93
5200,25.0,-12.0,12.0,597,471,552,94
5233,25.0,-12.0,12.0,597,471,552,94
5267,25.0,-12.0,12.0,597,471,552,95
5300,25.0,-12.0,12.0,597,471,552,95
5333,25.0,-12.0,12.0,597,471,552,95
5367,25.0,-12.0,12.0,597,471,552,96
5400,25.0,-12.0,12.0,597,471,552,96
5433,25.0,-12.0,12.0,597,471,552,96
5467,25.0,-12.0,12.0,597,471,552,95
5500,25.0,-12.0,12.0,597,471,552,95
5533,25.0,-12.0,12.0,597,471,552,95
5567,25.0,-12.0,12.0,597,471,552,94
5600,25.0,-12.0,12.0,597,471,552,94
5633,25.0,-12.0,12.0,597,471,552,93
