t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
7033,0.0,-8.0,-42.0,512,484,368,78
7067,0.0,-8.0,-42.0,512,484,368,78
7100,0.0,-8.0,-42.0,512,484,368,77
7133,0.0,-8.0,-42.0,512,484,368,77
7167,0.0,-8.0,-42.0,512,484,368,76
7200,0.0,-8.0,-42.0,512,484,368,76
7233,0.0,-8.0,-42.0,512,484,368,75
7267,0.0,-8.0,-42.0,512,484,368,75
7300,0.0,-8.0,-42.0,512,484,368,74
7333,0.0,-8.0,-42.0,512,484,368,74
7367,0.0,-8.0,-42.0,512,484,368,73
7400,0.0,-8.0,-42.0,512,484,368,72
7433,0.0,-8.0,-42.0,512,484,368,71
7467,0.0,-8.0,-42.0,512,484,368,71
7500,0.0,-8.0,-42.0,512,484,368,70
7533,0.0,-8.0,-42.0,512,484,368,69
7567,0.0,-8.0,-42.0,512,484,368,68
7600,0.0,-8.0,-42.0,512,484,368,68
7633,0.0,-8.0,-42.0,512,484,368,67
7667,0.0,-8.0,-42.0,512,484,368,66
7700,0.0,-8.0,-42.0,512,484,368,65
7733,0.0,-8.0,-42.0,512,484,368,64
7767,0.0,-8.0,-42.0,512,484,368,63
7800,0.0,-8.0,-42.0,512,484,368,62
7833,0.0,-8.0,-42.0,512,484,368,61
7867,0.0,-8.0,-42.0,512,484,368,60
7900,0.0,-8.0,-42.0,512,484,368,59
7933,0.0,-8.0,-42.0,512,484,368,58
7967,0.0,-8.0,-42.0,512,484,368,57
8000,0.0,-8.0,-42.0,512,484,368,56
8033,0.0,-8.0,-42.0,512,484,368,55
8067,0.0,-8.0,-42.0,512,484,368,54
8100,0.0,-8.0,-42.0,512,484,368,53
8133,0.0,-8.0,-42.0,512,484,368,52
8167,0.0,-8.0,-42.0,512,484,368,51
8200,0.0,-8.0,-42.0,512,484,368,50
8233,0.0,-8.0,-42.0,512,484,368,49
8267,0.0,-8.0,-42.0,512,484,368,47
8300,0.0,-8.0,-42.0,512,484,368,46
8333,0.0,-8.0,-42.0,512,484,368,45
8367,0.0,-8.0,-42.0,512,484,368,44
8400,0.0,-8.0,-42.0,512,484,368,43
8433,0.0,-8.0,-42.0,512,484,368,42
8467,0.0,-8.0,-42.0,512,484,368,41
8500,0.0,-8.0,-42.0,512,484,368,40
8533,0.0,-8.0,-42.0,512,484,368,39
8567,0.0,-8.0,-42.0,512,484,368,37
8600,0.0,-8.0,-42.0,512,484,368,36
8633,0.0,-8.0,-42.0,512,484,368,35
8667,0.0,-8.0,-42.0,512,484,368,34
8700,0.0,-8.0,-42.0,512,484,368,33
8733,0.0,-8.0,-42.0,512,484,368,32
8767,0.0,-8.0,-42.0,512,484,368,31
8800,0.0,-8.0,-42.0,512,484,368,30
8833,0.0,-8.0,-42.0,512,484,368,29
8867,0.0,-8.0,-42.0,512,484,368,28
8900,0.0,-8.0,-42.0,512,484,368,27
8933,0.0,-8.0,-42.0,512,484,368,26
8967,0.0,-8.0,-42.0,512,484,368,25
9000,0.0,-8.0,-42.0,512,484,368,24
9033,0.0,-8.0,-42.0,512,484,368,23
9067,0.0,-8.0,-42.0,512,484,368,23
9100,0.0,-8.0,-42.0,512,484,368,22
9133,0.0,-8.0,-42.0,512,484,368,21
9167,0.0,-8.0,-42.0,512,484,368,20
9200,0.0,-8.0,-42.0,512,484,368,19
9233,0.0,-8.0,-42.0,512,484,368,18
9267,0.0,-8.0,-42.0,512,484,368,18
9300,0.0,-8.0,-42.0,512,484,368,17
9333,0.0,-8.0,-42.0,512,484,368,16
9367,0.0,-8.0,-42.0,512,484,368,16
9400,0.0,-8.0,-42.0,512,484,368,15
9433,0.0,-8.0,-42.0,512,484,368,15
9467,0.0,-8.0,-42.0,512,484,368,14
9500,0.0,-8.0,-42.0,512,484,368,13
9533,0.0,-8.0,-42.0,512,484,368,13
9567,0.0,-8.0,-42.0,512,484,368,13
9600,0.0,-8.0,-42.0,512,484,368,12
9633,0.0,-8.0,-42.0,512,484,368,12
9667,0.0,-8.0,-42.0,512,484,368,11
9700,0.0,-8.0,-42.0,512,484,368,11
9733,0.0,-8.0,-42.0,512,484,368,11
9767,0.0,-8.0,-42.0,512,484,368,10
9800,0.0,-8.0,-42.0,512,484,368,10
9833,0.0,-8.0,-42.0,512,484,368,10
9867,0.0,-8.0,-42.0,512,484,368,10
9900,0.0,-8.0,-42.0,512,484,368,10
9933,0.0,-8.0,-42.0,512,484,368,10
9967,0.0,-8.0,-42.0,512,484,368,10
10000,0.0,-8.0,-42.0,512,484,368,10
10033,0.0,-8.0,-42.0,512,484,368,10
10067,0.0,-8.0,-42.0,512,484,368,10
10100,0.0,-8.0,-42.0,512,484,368,10
10133,0.0,-8.0,-42.0,512,484,368,11
10167,0.0,-8.0,-42.0,512,484,368,11
10200,0.0,-8.0,-42.0,512,484,368,12
10233,0.0,-8.0,-42.0,512,484,368,13
10267,0.0,-8.0,-42.0,512,484,368,14
10300,0.0,-8.0,-42.0,512,484,368,15
10333,0.0,-8.0,-42.0,512,484,368,16
10367,0.0,-8.0,-42.0,512,484,368,17
10400,0.0,-8.0,-42.0,512,484,368,19
10433,0.0,-8.0,-42.0,512,484,368,20
10467,0.0,-8.0,-42.0,512,484,368,22
10500,0.0,-8.0,-42.0,512,484,368,23
10533,0.0,-8.0,-42.0,512,484,368,25
10567,0.0,-8.0,-42.0,512,484,368,27
10600,0.0,-8.0,-42.0,512,484,368,29
10633,0.0,-8.0,-42.0,512,484,368,31
10667,0.0,-8.0,-42.0,512,484,368,33
10700,0.0,-8.0,-42.0,512,484,368,35
10733,0.0,-8.0,-42.0,512,484,368,37
10767,0.0,-8.0,-42.0,512,484,368,39
10800,0.0,-8.0,-42.0,512,484,368,41
10833,0.0,-8.0,-42.0,512,484,368,44
10867,0.0,-8.0,-42.0,512,484,368,46
10900,0.0,-8.0,-42.0,512,484,368,48
10933,0.0,-8.0,-42.0,512,484,368,50
10967,0.0,-8.0,-42.0,512,484,368,52
11000,0.0,-8.0,-42.0,512,484,368,54
11033,0.0,-8.0,-42.0,512,484,368,56
11067,0.0,-8.0,-42.0,512,484,368,58
11100,0.0,-8.0,-42.0,512,484,368,60
11133,0.0,-8.0,-42.0,512,484,368,62
11167,0.0,-8.0,-42.0,512,484,368,64
11200,0.0,-8.0,-42.0,512,484,368,66
11233,0.0,-8.0,-42.0,512,484,368,67
11267,0.0,-8.0,-42.0,512,484,368,69
11300,0.0,-8.0,-42.0,512,484,368,71
11333,0.0,-8.0,-42.0,512,484,368,72
11367,0.0,-8.0,-42.0,512,484,368,73
11400,0.0,-8.0,-42.0,512,484,368,74
11433,0.0,-8.0,-42.0,512,484,368,76
11467,0.0,-8.0,-42.0,512,484,368,76
11500,0.0,-8.0,-42.0,512,484,368,77
11533,0.0,-8.0,-42.0,512,484,368,78
11567,0.0,-8.0,-42.0,512,484,368,79
11600,0.0,-8.0,-42.0,512,484,368,79
11633,0.0,-8.0,-42.0,512,484,368,79
11667,0.0,-8.0,-42.0,512,484,368,80
11700,0.0,-8.0,-42.0,512,484,368,80
11733,0.0,-8.0,-42.0,512,484,368,80
11767,0.0,-8.0,-42.0,512,484,368,80
11800,0.0,-8.0,-42.0,512,484,368,80
11833,0.0,-8.0,-42.0,512,484,368,79
11867,0.0,-8.0,-42.0,512,484,368,79
11900,0.0,-8.0,-42.0,512,484,368,79
11933,0.0,-8.0,-42.0,512,484,368,79
11967,0.0,-8.0,-42.0,512,484,368,79
12000,0.0,-8.0,-42.0,512,484,368,78
12033,0.0,-8.0,-42.0,512,484,368,78
12067,0.0,-8.0,-42.0,512,484,368,78
12100,0.0,-8.0,-42.0,512,484,368,77
12133,0.0,-8.0,-42.0,512,484,368,77
12167,0.0,-8.0,-42.0,512,484,368,76
12200,0.0,-8.0,-42.0,512,484,368,76
12233,0.0,-8.0,-42.0,512,484,368,75
12267,0.0,-8.0,-42.0,512,484,368,75
12300,0.0,-8.0,-42.0,512,484,368,74
12333,0.0,-8.0,-42.0,512,484,368,74
12367,0.0,-8.0,-42.0,512,484,368,73
12400,0.0,-8.0,-42.0,512,484,368,72
12433,0.0,-8.0,-42.0,512,484,368,71
12467,0.0,-8.0,-42.0,512,484,368,71
12500,0.0,-8.0,-42.0,512,484,368,70
12533,0.0,-8.0,-42.0,512,484,368,69
12567,0.0,-8.0,-42.0,512,484,368,68
12600,0.0,-8.0,-42.0,512,484,368,68
12633,0.0,-8.0,-42.0,512,484,368,67
12667,0.0,-8.0,-42.0,512,484,368,66
12700,0.0,-8.0,-42.0,512,484,368,65
12733,0.0,-8.0,-42.0,512,484,368,64
12767,0.0,-8.0,-42.0,512,484,368,63
12800,0.0,-8.0,-42.0,512,484,368,62
12833,0.0,-8.0,-42.0,512,484,368,61
12867,0.0,-8.0,-42.0,512,484,368,60
12900,0.0,-8.0,-42.0,512,484,368,59
12933,0.0,-8.0,-42.0,512,484,368,58
12967,0.0,-8.0,-42.0,512,484,368,57
13000,0.0,-8.0,-42.0,512,484,368,56
13033,0.0,-8.0,-42.0,512,484,368,55
13067,0.0,-8.0,-42.0,512,484,368,54
13100,0.0,-8.0,-42.0,512,484,368,53
13133,0.0,-8.0,-42.0,512,484,368,52
13167,0.0,-8.0,-42.0,512,484,368,51
13200,0.0,-8.0,-42.0,512,484,368,50
13233,0.0,-8.0,-42.0,512,484,368,49
13267,0.0,-8.0,-42.0,512,484,368,47
13300,0.0,-8.0,-42.0,512,484,368,46
13333,0.0,-8.0,-42.0,512,484,368,45
13367,0.0,-8.0,-42.0,512,484,368,44
13400,0.0,-8.0,-42.0,512,484,368,43
13433,0.0,-8.0,-42.0,512,484,368,42
13467,0.0,-8.0,-42.0,512,484,368,41
13500,0.0,-8.0,-42.0,512,484,368,40
13533,0.0,-8.0,-42.0,512,484,368,39
13567,0.0,-8.0,-42.0,512,484,368,37
13600,0.0,-8.0,-42.0,512,484,368,36
13633,0.0,-8.0,-42.0,512,484,368,35
13667,0.0,-8.0,-42.0,512,484,368,34
13700,0.0,-8.0,-42.0,512,484,368,33
13733,0.0,-8.0,-42.0,512,484,368,32
13767,0.0,-8.0,-42.0,512,484,368,31
13800,0.0,-8.0,-42.0,512,484,368,30
13833,0.0,-8.0,-42.0,512,484,368,29
13867,0.0,-8.0,-42.0,512,484,368,28
13900,0.0,-8.0,-42.0,512,484,368,27
13933,0.0,-8.0,-42.0,512,484,368,26
13967,0.0,-8.0,-42.0,512,484,368,25
14000,0.0,-8.0,-42.0,512,484,368,24
14033,0.0,-8.0,-42.0,512,484,368,23
14067,0.0,-8.0,-42.0,512,484,368,23
14100,0.0,-8.0,-42.0,512,484,368,22
14133,0.0,-8.0,-42.0,512,484,368,21
14167,0.0,-8.0,-42.0,512,484,368,20
14200,0.0,-8.0,-42.0,512,484,368,19
14233,0.0,-8.0,-42.0,512,484,368,18
14267,0.0,-8.0,-42.0,512,484,368,18
14300,0.0,-8.0,-42.0,512,484,368,17
14333,0.0,-8.0,-42.0,512,484,368,16
14367,0.0,-8.0,-42.0,512,484,368,16
